T/s,I_se/nA,Spalte1,I_P/nA,Type
1.20E+00,1.13E-01,2.92E-01,0.38732059,$\mathit{I}_\mathrm{EBIC}$
1.25E+00,1.15E-01,2.90E-01,0.397808845,$\mathit{I}_\mathrm{EBIC}$
1.30E+00,1.18E-01,3.06E-01,0.383850371,$\mathit{I}_\mathrm{EBIC}$
1.35E+00,1.20E-01,3.06E-01,0.391950749,$\mathit{I}_\mathrm{EBIC}$
1.40E+00,1.22E-01,2.89E-01,0.423012109,$\mathit{I}_\mathrm{EBIC}$
1.45E+00,1.24E-01,2.95E-01,0.421176066,$\mathit{I}_\mathrm{EBIC}$
1.50E+00,1.27E-01,2.89E-01,0.437171851,$\mathit{I}_\mathrm{EBIC}$
1.55E+00,1.29E-01,2.91E-01,0.441735776,$\mathit{I}_\mathrm{EBIC}$
1.60E+00,1.31E-01,2.96E-01,0.442181813,$\mathit{I}_\mathrm{EBIC}$
1.65E+00,1.33E-01,2.90E-01,0.458930652,$\mathit{I}_\mathrm{EBIC}$
1.70E+00,1.35E-01,3.05E-01,0.443972762,$\mathit{I}_\mathrm{EBIC}$
1.75E+00,1.38E-01,2.87E-01,0.479192691,$\mathit{I}_\mathrm{EBIC}$
1.80E+00,1.40E-01,3.01E-01,0.464138133,$\mathit{I}_\mathrm{EBIC}$
1.85E+00,1.42E-01,3.02E-01,0.471157669,$\mathit{I}_\mathrm{EBIC}$
1.90E+00,1.44E-01,2.88E-01,0.500683399,$\mathit{I}_\mathrm{EBIC}$
1.95E+00,1.47E-01,2.90E-01,0.504843936,$\mathit{I}_\mathrm{EBIC}$
2.00E+00,1.49E-01,2.87E-01,0.517892793,$\mathit{I}_\mathrm{EBIC}$
2.05E+00,1.51E-01,3.04E-01,0.495897944,$\mathit{I}_\mathrm{EBIC}$
2.10E+00,1.53E-01,2.92E-01,0.524957628,$\mathit{I}_\mathrm{EBIC}$
2.15E+00,1.55E-01,2.96E-01,0.525250945,$\mathit{I}_\mathrm{EBIC}$
2.20E+00,1.58E-01,3.06E-01,0.514267265,$\mathit{I}_\mathrm{EBIC}$
2.25E+00,1.60E-01,3.00E-01,0.53342503,$\mathit{I}_\mathrm{EBIC}$
2.30E+00,1.62E-01,3.01E-01,0.538023948,$\mathit{I}_\mathrm{EBIC}$
2.35E+00,1.64E-01,3.03E-01,0.541374409,$\mathit{I}_\mathrm{EBIC}$
2.40E+00,1.66E-01,3.00E-01,0.555469491,$\mathit{I}_\mathrm{EBIC}$
2.45E+00,1.69E-01,2.98E-01,0.566558422,$\mathit{I}_\mathrm{EBIC}$
2.50E+00,1.71E-01,2.94E-01,0.581421765,$\mathit{I}_\mathrm{EBIC}$
2.55E+00,1.73E-01,2.93E-01,0.590740868,$\mathit{I}_\mathrm{EBIC}$
2.60E+00,1.75E-01,2.90E-01,0.60534781,$\mathit{I}_\mathrm{EBIC}$
2.65E+00,1.78E-01,2.99E-01,0.593298969,$\mathit{I}_\mathrm{EBIC}$
2.70E+00,1.80E-01,3.05E-01,0.589929035,$\mathit{I}_\mathrm{EBIC}$
2.75E+00,1.82E-01,3.01E-01,0.604278346,$\mathit{I}_\mathrm{EBIC}$
2.80E+00,1.84E-01,2.91E-01,0.633234522,$\mathit{I}_\mathrm{EBIC}$
2.85E+00,1.86E-01,2.91E-01,0.640345394,$\mathit{I}_\mathrm{EBIC}$
2.90E+00,1.89E-01,3.02E-01,0.624145216,$\mathit{I}_\mathrm{EBIC}$
2.95E+00,1.91E-01,3.00E-01,0.63705097,$\mathit{I}_\mathrm{EBIC}$
3.00E+00,1.93E-01,3.03E-01,0.637082471,$\mathit{I}_\mathrm{EBIC}$
3.05E+00,1.95E-01,3.07E-01,0.636764945,$\mathit{I}_\mathrm{EBIC}$
3.10E+00,1.98E-01,2.93E-01,0.675396004,$\mathit{I}_\mathrm{EBIC}$
3.15E+00,2.00E-01,3.00E-01,0.665936975,$\mathit{I}_\mathrm{EBIC}$
3.20E+00,2.02E-01,2.98E-01,0.678113409,$\mathit{I}_\mathrm{EBIC}$
3.25E+00,2.04E-01,2.96E-01,0.690618544,$\mathit{I}_\mathrm{EBIC}$
3.30E+00,2.06E-01,2.94E-01,0.70248701,$\mathit{I}_\mathrm{EBIC}$
3.35E+00,2.09E-01,2.89E-01,0.721863533,$\mathit{I}_\mathrm{EBIC}$
3.40E+00,2.10E-01,2.90E-01,0.723806804,$\mathit{I}_\mathrm{EBIC}$
3.45E+00,2.11E-01,2.96E-01,0.714491783,$\mathit{I}_\mathrm{EBIC}$
3.50E+00,2.13E-01,3.01E-01,0.707628326,$\mathit{I}_\mathrm{EBIC}$
3.55E+00,2.14E-01,2.94E-01,0.728102371,$\mathit{I}_\mathrm{EBIC}$
3.60E+00,2.16E-01,2.94E-01,0.732976718,$\mathit{I}_\mathrm{EBIC}$
3.65E+00,2.17E-01,2.90E-01,0.748494833,$\mathit{I}_\mathrm{EBIC}$
3.70E+00,2.19E-01,2.98E-01,0.734650161,$\mathit{I}_\mathrm{EBIC}$
3.75E+00,2.20E-01,2.91E-01,0.756878496,$\mathit{I}_\mathrm{EBIC}$
3.80E+00,2.21E-01,3.02E-01,0.733590615,$\mathit{I}_\mathrm{EBIC}$
3.85E+00,2.23E-01,3.06E-01,0.728491608,$\mathit{I}_\mathrm{EBIC}$
3.90E+00,2.24E-01,3.06E-01,0.734261554,$\mathit{I}_\mathrm{EBIC}$
3.95E+00,2.26E-01,2.99E-01,0.755900241,$\mathit{I}_\mathrm{EBIC}$
4.00E+00,2.27E-01,2.95E-01,0.770683626,$\mathit{I}_\mathrm{EBIC}$
4.05E+00,2.29E-01,3.03E-01,0.753448701,$\mathit{I}_\mathrm{EBIC}$
4.10E+00,2.30E-01,3.04E-01,0.757943193,$\mathit{I}_\mathrm{EBIC}$
4.15E+00,2.32E-01,2.96E-01,0.782130575,$\mathit{I}_\mathrm{EBIC}$
4.20E+00,2.33E-01,2.96E-01,0.786692316,$\mathit{I}_\mathrm{EBIC}$
4.25E+00,2.34E-01,3.01E-01,0.77779363,$\mathit{I}_\mathrm{EBIC}$
4.30E+00,2.36E-01,2.91E-01,0.809164622,$\mathit{I}_\mathrm{EBIC}$
4.35E+00,2.37E-01,2.91E-01,0.81419093,$\mathit{I}_\mathrm{EBIC}$
4.40E+00,2.39E-01,2.93E-01,0.815931597,$\mathit{I}_\mathrm{EBIC}$
4.45E+00,2.40E-01,2.94E-01,0.817930009,$\mathit{I}_\mathrm{EBIC}$
4.50E+00,2.42E-01,2.96E-01,0.815785141,$\mathit{I}_\mathrm{EBIC}$
4.55E+00,2.43E-01,2.91E-01,0.835887182,$\mathit{I}_\mathrm{EBIC}$
4.60E+00,2.44E-01,2.99E-01,0.818614518,$\mathit{I}_\mathrm{EBIC}$
4.65E+00,2.46E-01,3.04E-01,0.807812775,$\mathit{I}_\mathrm{EBIC}$
4.70E+00,2.47E-01,2.92E-01,0.848404185,$\mathit{I}_\mathrm{EBIC}$
4.75E+00,2.49E-01,2.99E-01,0.832976567,$\mathit{I}_\mathrm{EBIC}$
4.80E+00,2.50E-01,3.04E-01,0.823710679,$\mathit{I}_\mathrm{EBIC}$
4.85E+00,2.52E-01,2.88E-01,0.872632014,$\mathit{I}_\mathrm{EBIC}$
4.90E+00,2.53E-01,3.07E-01,0.825638318,$\mathit{I}_\mathrm{EBIC}$
4.95E+00,2.55E-01,3.01E-01,0.846011448,$\mathit{I}_\mathrm{EBIC}$
5.00E+00,2.56E-01,2.91E-01,0.881067956,$\mathit{I}_\mathrm{EBIC}$
5.05E+00,2.57E-01,2.92E-01,0.881163315,$\mathit{I}_\mathrm{EBIC}$
5.10E+00,2.59E-01,3.01E-01,0.859644097,$\mathit{I}_\mathrm{EBIC}$
5.15E+00,2.60E-01,3.03E-01,0.858941573,$\mathit{I}_\mathrm{EBIC}$
5.20E+00,2.62E-01,2.89E-01,0.905551223,$\mathit{I}_\mathrm{EBIC}$
5.25E+00,2.63E-01,3.07E-01,0.857936627,$\mathit{I}_\mathrm{EBIC}$
5.30E+00,2.65E-01,2.96E-01,0.895092133,$\mathit{I}_\mathrm{EBIC}$
5.35E+00,2.66E-01,2.93E-01,0.908431637,$\mathit{I}_\mathrm{EBIC}$
5.40E+00,2.68E-01,2.95E-01,0.907539174,$\mathit{I}_\mathrm{EBIC}$
5.45E+00,2.69E-01,2.96E-01,0.908831959,$\mathit{I}_\mathrm{EBIC}$
5.50E+00,2.70E-01,3.02E-01,0.894708429,$\mathit{I}_\mathrm{EBIC}$
5.55E+00,2.72E-01,3.06E-01,0.887459009,$\mathit{I}_\mathrm{EBIC}$
5.60E+00,2.73E-01,3.01E-01,0.907918395,$\mathit{I}_\mathrm{EBIC}$
5.65E+00,2.75E-01,3.00E-01,0.915351068,$\mathit{I}_\mathrm{EBIC}$
5.70E+00,2.76E-01,2.97E-01,0.929477548,$\mathit{I}_\mathrm{EBIC}$
5.75E+00,2.78E-01,3.04E-01,0.913465452,$\mathit{I}_\mathrm{EBIC}$
5.80E+00,2.79E-01,3.02E-01,0.922663698,$\mathit{I}_\mathrm{EBIC}$
5.85E+00,2.80E-01,2.87E-01,0.976555629,$\mathit{I}_\mathrm{EBIC}$
5.90E+00,2.82E-01,2.89E-01,0.974134607,$\mathit{I}_\mathrm{EBIC}$
5.95E+00,2.83E-01,2.95E-01,0.960857893,$\mathit{I}_\mathrm{EBIC}$
6.00E+00,2.85E-01,3.03E-01,0.94084843,$\mathit{I}_\mathrm{EBIC}$
6.05E+00,2.87E-01,2.90E-01,0.988599116,$\mathit{I}_\mathrm{EBIC}$
6.10E+00,2.95E-01,2.96E-01,0.997923362,$\mathit{I}_\mathrm{EBIC}$
6.15E+00,3.04E-01,3.01E-01,1.008249927,$\mathit{I}_\mathrm{EBIC}$
6.20E+00,3.12E-01,2.95E-01,1.057529875,$\mathit{I}_\mathrm{EBIC}$
6.25E+00,3.21E-01,2.94E-01,1.089127811,$\mathit{I}_\mathrm{EBIC}$
6.30E+00,3.29E-01,3.01E-01,1.093439273,$\mathit{I}_\mathrm{EBIC}$
6.35E+00,3.38E-01,2.89E-01,1.167027,$\mathit{I}_\mathrm{EBIC}$
6.40E+00,3.46E-01,2.93E-01,1.181670264,$\mathit{I}_\mathrm{EBIC}$
6.45E+00,3.55E-01,3.00E-01,1.183025338,$\mathit{I}_\mathrm{EBIC}$
6.50E+00,3.63E-01,3.05E-01,1.189119578,$\mathit{I}_\mathrm{EBIC}$
6.55E+00,3.72E-01,3.03E-01,1.226959369,$\mathit{I}_\mathrm{EBIC}$
6.60E+00,3.80E-01,3.07E-01,1.24013726,$\mathit{I}_\mathrm{EBIC}$
6.65E+00,3.89E-01,2.95E-01,1.318021789,$\mathit{I}_\mathrm{EBIC}$
6.70E+00,3.97E-01,3.03E-01,1.310338739,$\mathit{I}_\mathrm{EBIC}$
6.75E+00,4.06E-01,2.87E-01,1.411667496,$\mathit{I}_\mathrm{EBIC}$
6.80E+00,4.14E-01,2.87E-01,1.441586588,$\mathit{I}_\mathrm{EBIC}$
6.85E+00,4.23E-01,2.95E-01,1.432367969,$\mathit{I}_\mathrm{EBIC}$
6.90E+00,4.31E-01,2.95E-01,1.460609747,$\mathit{I}_\mathrm{EBIC}$
6.95E+00,4.40E-01,2.98E-01,1.477499125,$\mathit{I}_\mathrm{EBIC}$
7.00E+00,4.48E-01,3.04E-01,1.474486379,$\mathit{I}_\mathrm{EBIC}$
7.05E+00,4.57E-01,2.91E-01,1.568029842,$\mathit{I}_\mathrm{EBIC}$
7.10E+00,4.68E-01,2.89E-01,1.617325654,$\mathit{I}_\mathrm{EBIC}$
7.15E+00,4.80E-01,2.91E-01,1.646586156,$\mathit{I}_\mathrm{EBIC}$
7.20E+00,4.92E-01,2.94E-01,1.674236835,$\mathit{I}_\mathrm{EBIC}$
7.25E+00,5.03E-01,3.05E-01,1.648225207,$\mathit{I}_\mathrm{EBIC}$
7.30E+00,5.15E-01,2.93E-01,1.759924425,$\mathit{I}_\mathrm{EBIC}$
7.35E+00,5.27E-01,3.01E-01,1.749539879,$\mathit{I}_\mathrm{EBIC}$
7.40E+00,5.38E-01,2.94E-01,1.831840076,$\mathit{I}_\mathrm{EBIC}$
7.45E+00,5.50E-01,2.93E-01,1.877433511,$\mathit{I}_\mathrm{EBIC}$
7.50E+00,5.62E-01,2.88E-01,1.953589421,$\mathit{I}_\mathrm{EBIC}$
7.55E+00,5.73E-01,2.93E-01,1.959878177,$\mathit{I}_\mathrm{EBIC}$
7.60E+00,5.85E-01,2.89E-01,2.025731832,$\mathit{I}_\mathrm{EBIC}$
7.65E+00,5.97E-01,3.01E-01,1.983673888,$\mathit{I}_\mathrm{EBIC}$
7.70E+00,6.08E-01,2.88E-01,2.116129144,$\mathit{I}_\mathrm{EBIC}$
7.75E+00,6.20E-01,3.04E-01,2.038182927,$\mathit{I}_\mathrm{EBIC}$
7.80E+00,6.32E-01,2.90E-01,2.179502643,$\mathit{I}_\mathrm{EBIC}$
7.85E+00,6.44E-01,3.03E-01,2.126195888,$\mathit{I}_\mathrm{EBIC}$
7.90E+00,6.55E-01,2.99E-01,2.194346552,$\mathit{I}_\mathrm{EBIC}$
7.95E+00,6.67E-01,2.98E-01,2.241578571,$\mathit{I}_\mathrm{EBIC}$
8.00E+00,6.79E-01,3.03E-01,2.23677106,$\mathit{I}_\mathrm{EBIC}$
8.05E+00,6.90E-01,2.92E-01,2.365290021,$\mathit{I}_\mathrm{EBIC}$
8.10E+00,7.16E-01,3.00E-01,2.388910892,$\mathit{I}_\mathrm{EBIC}$
8.15E+00,7.49E-01,2.98E-01,2.5159944,$\mathit{I}_\mathrm{EBIC}$
8.20E+00,7.82E-01,2.87E-01,2.722883237,$\mathit{I}_\mathrm{EBIC}$
8.25E+00,8.15E-01,2.97E-01,2.742701371,$\mathit{I}_\mathrm{EBIC}$
8.30E+00,8.48E-01,2.92E-01,2.90594968,$\mathit{I}_\mathrm{EBIC}$
8.35E+00,8.81E-01,2.94E-01,2.994400128,$\mathit{I}_\mathrm{EBIC}$
8.40E+00,9.14E-01,2.88E-01,3.173815021,$\mathit{I}_\mathrm{EBIC}$
8.45E+00,9.47E-01,2.91E-01,3.254891247,$\mathit{I}_\mathrm{EBIC}$
8.50E+00,9.80E-01,3.04E-01,3.224085134,$\mathit{I}_\mathrm{EBIC}$
8.55E+00,1.01E+00,2.87E-01,3.525697157,$\mathit{I}_\mathrm{EBIC}$
8.60E+00,1.05E+00,3.01E-01,3.472867807,$\mathit{I}_\mathrm{EBIC}$
8.65E+00,1.08E+00,3.04E-01,3.554901101,$\mathit{I}_\mathrm{EBIC}$
8.70E+00,1.11E+00,2.96E-01,3.752825904,$\mathit{I}_\mathrm{EBIC}$
8.75E+00,1.15E+00,3.01E-01,3.801434432,$\mathit{I}_\mathrm{EBIC}$
8.80E+00,1.18E+00,3.03E-01,3.890402425,$\mathit{I}_\mathrm{EBIC}$
8.85E+00,1.21E+00,3.07E-01,3.953363519,$\mathit{I}_\mathrm{EBIC}$
8.90E+00,1.25E+00,2.90E-01,4.291416521,$\mathit{I}_\mathrm{EBIC}$
8.95E+00,1.28E+00,3.05E-01,4.190329253,$\mathit{I}_\mathrm{EBIC}$
9.00E+00,1.31E+00,2.99E-01,4.389158492,$\mathit{I}_\mathrm{EBIC}$
9.05E+00,1.34E+00,2.90E-01,4.635078144,$\mathit{I}_\mathrm{EBIC}$
9.10E+00,1.37E+00,3.04E-01,4.500120235,$\mathit{I}_\mathrm{EBIC}$
9.15E+00,1.37E+00,2.93E-01,4.687872277,$\mathit{I}_\mathrm{EBIC}$
9.20E+00,1.38E+00,2.88E-01,4.776514925,$\mathit{I}_\mathrm{EBIC}$
9.25E+00,1.38E+00,2.98E-01,4.648663582,$\mathit{I}_\mathrm{EBIC}$
9.30E+00,1.39E+00,2.95E-01,4.714572809,$\mathit{I}_\mathrm{EBIC}$
9.35E+00,1.39E+00,2.94E-01,4.744654706,$\mathit{I}_\mathrm{EBIC}$
9.40E+00,1.40E+00,2.90E-01,4.832427368,$\mathit{I}_\mathrm{EBIC}$
9.45E+00,1.40E+00,2.87E-01,4.894551144,$\mathit{I}_\mathrm{EBIC}$
9.50E+00,1.41E+00,2.90E-01,4.858535701,$\mathit{I}_\mathrm{EBIC}$
9.55E+00,1.42E+00,2.96E-01,4.780159198,$\mathit{I}_\mathrm{EBIC}$
9.60E+00,1.42E+00,3.04E-01,4.679625617,$\mathit{I}_\mathrm{EBIC}$
9.65E+00,1.43E+00,2.92E-01,4.882076108,$\mathit{I}_\mathrm{EBIC}$
9.70E+00,1.43E+00,2.95E-01,4.860658111,$\mathit{I}_\mathrm{EBIC}$
9.75E+00,1.44E+00,2.95E-01,4.863385151,$\mathit{I}_\mathrm{EBIC}$
9.80E+00,1.44E+00,2.92E-01,4.941383416,$\mathit{I}_\mathrm{EBIC}$
9.85E+00,1.45E+00,3.06E-01,4.736448634,$\mathit{I}_\mathrm{EBIC}$
9.90E+00,1.45E+00,3.04E-01,4.772317894,$\mathit{I}_\mathrm{EBIC}$
9.95E+00,1.46E+00,2.96E-01,4.934650496,$\mathit{I}_\mathrm{EBIC}$
1.00E+01,1.46E+00,3.03E-01,4.827468513,$\mathit{I}_\mathrm{EBIC}$
1.00E+01,1.47E+00,3.00E-01,4.892980624,$\mathit{I}_\mathrm{EBIC}$
1.01E+01,1.47E+00,2.87E-01,5.13551131,$\mathit{I}_\mathrm{EBIC}$
1.01E+01,1.48E+00,2.99E-01,4.956211844,$\mathit{I}_\mathrm{EBIC}$
1.02E+01,1.49E+00,2.99E-01,4.960254997,$\mathit{I}_\mathrm{EBIC}$
1.02E+01,1.50E+00,2.96E-01,5.075079813,$\mathit{I}_\mathrm{EBIC}$
1.03E+01,1.53E+00,2.98E-01,5.146731654,$\mathit{I}_\mathrm{EBIC}$
1.03E+01,1.57E+00,2.95E-01,5.313828498,$\mathit{I}_\mathrm{EBIC}$
1.04E+01,1.60E+00,2.95E-01,5.4285955,$\mathit{I}_\mathrm{EBIC}$
1.04E+01,1.64E+00,2.97E-01,5.518881184,$\mathit{I}_\mathrm{EBIC}$
1.05E+01,1.69E+00,2.97E-01,5.66792087,$\mathit{I}_\mathrm{EBIC}$
1.05E+01,1.73E+00,2.90E-01,5.974847762,$\mathit{I}_\mathrm{EBIC}$
1.06E+01,1.78E+00,3.04E-01,5.843269257,$\mathit{I}_\mathrm{EBIC}$
1.06E+01,1.82E+00,3.04E-01,5.992060606,$\mathit{I}_\mathrm{EBIC}$
1.07E+01,1.87E+00,3.05E-01,6.127964556,$\mathit{I}_\mathrm{EBIC}$
1.07E+01,1.92E+00,2.88E-01,6.659681491,$\mathit{I}_\mathrm{EBIC}$
1.08E+01,1.96E+00,2.97E-01,6.615274732,$\mathit{I}_\mathrm{EBIC}$
1.08E+01,2.02E+00,2.91E-01,6.928907651,$\mathit{I}_\mathrm{EBIC}$
1.09E+01,2.08E+00,2.89E-01,7.215512005,$\mathit{I}_\mathrm{EBIC}$
1.09E+01,2.15E+00,3.05E-01,7.036744524,$\mathit{I}_\mathrm{EBIC}$
1.10E+01,2.21E+00,2.93E-01,7.556875292,$\mathit{I}_\mathrm{EBIC}$
1.10E+01,2.29E+00,2.98E-01,7.6671111,$\mathit{I}_\mathrm{EBIC}$
1.11E+01,2.38E+00,2.94E-01,8.097322646,$\mathit{I}_\mathrm{EBIC}$
1.11E+01,2.48E+00,2.99E-01,8.283711614,$\mathit{I}_\mathrm{EBIC}$
1.12E+01,2.57E+00,3.03E-01,8.4857723,$\mathit{I}_\mathrm{EBIC}$
1.12E+01,2.65E+00,2.96E-01,8.958400246,$\mathit{I}_\mathrm{EBIC}$
1.13E+01,2.69E+00,2.93E-01,9.18084419,$\mathit{I}_\mathrm{EBIC}$
1.13E+01,2.73E+00,2.89E-01,9.46641354,$\mathit{I}_\mathrm{EBIC}$
1.14E+01,2.78E+00,2.91E-01,9.532449458,$\mathit{I}_\mathrm{EBIC}$
1.14E+01,2.82E+00,2.89E-01,9.774693112,$\mathit{I}_\mathrm{EBIC}$
1.15E+01,2.88E+00,2.87E-01,10.03932096,$\mathit{I}_\mathrm{EBIC}$
1.15E+01,2.94E+00,2.90E-01,10.12758455,$\mathit{I}_\mathrm{EBIC}$
1.16E+01,3.00E+00,3.06E-01,9.807877976,$\mathit{I}_\mathrm{EBIC}$
1.16E+01,3.06E+00,3.01E-01,10.17789968,$\mathit{I}_\mathrm{EBIC}$
1.17E+01,3.14E+00,2.91E-01,10.78558599,$\mathit{I}_\mathrm{EBIC}$
1.17E+01,3.21E+00,2.87E-01,11.17166876,$\mathit{I}_\mathrm{EBIC}$
1.18E+01,3.29E+00,3.07E-01,10.71965315,$\mathit{I}_\mathrm{EBIC}$
1.18E+01,3.37E+00,2.88E-01,11.6842747,$\mathit{I}_\mathrm{EBIC}$
1.19E+01,3.47E+00,3.00E-01,11.57256681,$\mathit{I}_\mathrm{EBIC}$
1.19E+01,3.57E+00,3.00E-01,11.9138396,$\mathit{I}_\mathrm{EBIC}$
1.20E+01,3.67E+00,3.01E-01,12.20049578,$\mathit{I}_\mathrm{EBIC}$
1.20E+01,3.77E+00,3.01E-01,12.53624943,$\mathit{I}_\mathrm{EBIC}$
1.21E+01,3.88E+00,3.00E-01,12.91037641,$\mathit{I}_\mathrm{EBIC}$
1.21E+01,3.98E+00,2.87E-01,13.85506125,$\mathit{I}_\mathrm{EBIC}$
1.22E+01,4.08E+00,2.89E-01,14.0965608,$\mathit{I}_\mathrm{EBIC}$
1.22E+01,4.20E+00,2.88E-01,14.59485565,$\mathit{I}_\mathrm{EBIC}$
1.23E+01,4.38E+00,2.97E-01,14.7786915,$\mathit{I}_\mathrm{EBIC}$
1.23E+01,4.57E+00,2.96E-01,15.44507806,$\mathit{I}_\mathrm{EBIC}$
1.24E+01,4.75E+00,2.92E-01,16.28127718,$\mathit{I}_\mathrm{EBIC}$
1.24E+01,4.98E+00,2.92E-01,17.08505349,$\mathit{I}_\mathrm{EBIC}$
1.25E+01,5.33E+00,2.89E-01,18.47304673,$\mathit{I}_\mathrm{EBIC}$
1.25E+01,5.68E+00,2.94E-01,19.34790856,$\mathit{I}_\mathrm{EBIC}$
1.26E+01,6.03E+00,3.00E-01,20.11931931,$\mathit{I}_\mathrm{EBIC}$
1.26E+01,6.38E+00,2.92E-01,21.84748988,$\mathit{I}_\mathrm{EBIC}$
1.27E+01,6.71E+00,3.02E-01,22.20044971,$\mathit{I}_\mathrm{EBIC}$
1.27E+01,7.04E+00,2.97E-01,23.70385168,$\mathit{I}_\mathrm{EBIC}$
1.28E+01,7.38E+00,2.93E-01,25.16826449,$\mathit{I}_\mathrm{EBIC}$
1.28E+01,7.71E+00,3.00E-01,25.74145863,$\mathit{I}_\mathrm{EBIC}$
1.29E+01,8.06E+00,3.05E-01,26.39840931,$\mathit{I}_\mathrm{EBIC}$
1.29E+01,8.40E+00,2.99E-01,28.14478512,$\mathit{I}_\mathrm{EBIC}$
1.30E+01,8.75E+00,3.04E-01,28.74166007,$\mathit{I}_\mathrm{EBIC}$
1.30E+01,9.20E+00,2.93E-01,31.43420295,$\mathit{I}_\mathrm{EBIC}$
1.31E+01,9.89E+00,2.89E-01,34.16539978,$\mathit{I}_\mathrm{EBIC}$
1.31E+01,1.06E+01,3.03E-01,34.91321956,$\mathit{I}_\mathrm{EBIC}$
1.32E+01,1.13E+01,3.00E-01,37.54807408,$\mathit{I}_\mathrm{EBIC}$
1.32E+01,1.17E+01,3.00E-01,39.17995666,$\mathit{I}_\mathrm{EBIC}$
1.33E+01,1.18E+01,2.98E-01,39.59611984,$\mathit{I}_\mathrm{EBIC}$
1.33E+01,1.19E+01,2.98E-01,39.88138132,$\mathit{I}_\mathrm{EBIC}$
1.34E+01,1.19E+01,2.99E-01,39.97644179,$\mathit{I}_\mathrm{EBIC}$
1.34E+01,1.20E+01,2.99E-01,40.16210533,$\mathit{I}_\mathrm{EBIC}$
1.35E+01,1.21E+01,2.99E-01,40.37142327,$\mathit{I}_\mathrm{EBIC}$
1.35E+01,1.21E+01,2.89E-01,41.82851291,$\mathit{I}_\mathrm{EBIC}$
1.36E+01,1.21E+01,2.92E-01,41.43327064,$\mathit{I}_\mathrm{EBIC}$
1.36E+01,1.23E+01,2.90E-01,42.35023892,$\mathit{I}_\mathrm{EBIC}$
1.37E+01,1.26E+01,3.03E-01,41.52418733,$\mathit{I}_\mathrm{EBIC}$
1.37E+01,1.28E+01,3.05E-01,41.96259295,$\mathit{I}_\mathrm{EBIC}$
1.38E+01,1.29E+01,3.02E-01,42.86381494,$\mathit{I}_\mathrm{EBIC}$
1.38E+01,1.31E+01,2.96E-01,44.14689625,$\mathit{I}_\mathrm{EBIC}$
1.39E+01,1.31E+01,3.01E-01,43.42082591,$\mathit{I}_\mathrm{EBIC}$
1.39E+01,1.31E+01,3.06E-01,42.81248284,$\mathit{I}_\mathrm{EBIC}$
1.40E+01,1.32E+01,3.02E-01,43.62897283,$\mathit{I}_\mathrm{EBIC}$
1.40E+01,1.33E+01,3.02E-01,44.03389291,$\mathit{I}_\mathrm{EBIC}$
1.41E+01,1.34E+01,3.00E-01,44.75748017,$\mathit{I}_\mathrm{EBIC}$
1.41E+01,1.35E+01,2.96E-01,45.69200663,$\mathit{I}_\mathrm{EBIC}$
1.42E+01,1.36E+01,2.97E-01,45.91707205,$\mathit{I}_\mathrm{EBIC}$
1.42E+01,1.37E+01,2.99E-01,45.79267798,$\mathit{I}_\mathrm{EBIC}$
1.43E+01,1.37E+01,2.98E-01,46.01879127,$\mathit{I}_\mathrm{EBIC}$
1.43E+01,1.37E+01,2.94E-01,46.65596501,$\mathit{I}_\mathrm{EBIC}$
