T/s,I_se/nA,Spalte1,I_P/nA,Type
2.05E+00,5.90E-02,3.82E-01,1.55E-01,$\mathit{I}_\mathrm{EBIC}$
2.10E+00,6.04E-02,3.82E-01,1.58E-01,$\mathit{I}_\mathrm{EBIC}$
2.15E+00,6.18E-02,3.80E-01,1.63E-01,$\mathit{I}_\mathrm{EBIC}$
2.20E+00,6.32E-02,3.97E-01,1.59E-01,$\mathit{I}_\mathrm{EBIC}$
2.25E+00,6.46E-02,3.96E-01,1.63E-01,$\mathit{I}_\mathrm{EBIC}$
2.30E+00,6.60E-02,4.02E-01,1.64E-01,$\mathit{I}_\mathrm{EBIC}$
2.35E+00,6.74E-02,3.88E-01,1.74E-01,$\mathit{I}_\mathrm{EBIC}$
2.40E+00,6.88E-02,3.84E-01,1.79E-01,$\mathit{I}_\mathrm{EBIC}$
2.45E+00,7.02E-02,3.76E-01,1.87E-01,$\mathit{I}_\mathrm{EBIC}$
2.50E+00,7.16E-02,4.04E-01,1.77E-01,$\mathit{I}_\mathrm{EBIC}$
2.55E+00,7.30E-02,3.90E-01,1.87E-01,$\mathit{I}_\mathrm{EBIC}$
2.60E+00,7.44E-02,3.82E-01,1.95E-01,$\mathit{I}_\mathrm{EBIC}$
2.65E+00,7.58E-02,3.85E-01,1.97E-01,$\mathit{I}_\mathrm{EBIC}$
2.70E+00,7.72E-02,3.80E-01,2.03E-01,$\mathit{I}_\mathrm{EBIC}$
2.75E+00,7.86E-02,3.89E-01,2.02E-01,$\mathit{I}_\mathrm{EBIC}$
2.80E+00,8.00E-02,4.04E-01,1.98E-01,$\mathit{I}_\mathrm{EBIC}$
2.85E+00,8.14E-02,3.76E-01,2.17E-01,$\mathit{I}_\mathrm{EBIC}$
2.90E+00,8.28E-02,3.90E-01,2.12E-01,$\mathit{I}_\mathrm{EBIC}$
2.95E+00,8.42E-02,4.00E-01,2.11E-01,$\mathit{I}_\mathrm{EBIC}$
3.00E+00,8.56E-02,3.96E-01,2.16E-01,$\mathit{I}_\mathrm{EBIC}$
3.05E+00,8.70E-02,3.79E-01,2.30E-01,$\mathit{I}_\mathrm{EBIC}$
3.10E+00,8.84E-02,3.95E-01,2.24E-01,$\mathit{I}_\mathrm{EBIC}$
3.15E+00,8.98E-02,3.80E-01,2.37E-01,$\mathit{I}_\mathrm{EBIC}$
3.20E+00,9.12E-02,4.00E-01,2.28E-01,$\mathit{I}_\mathrm{EBIC}$
3.25E+00,9.26E-02,4.01E-01,2.31E-01,$\mathit{I}_\mathrm{EBIC}$
3.30E+00,9.40E-02,3.77E-01,2.49E-01,$\mathit{I}_\mathrm{EBIC}$
3.35E+00,1.04E-01,3.89E-01,2.67E-01,$\mathit{I}_\mathrm{EBIC}$
3.40E+00,1.21E-01,3.87E-01,3.13E-01,$\mathit{I}_\mathrm{EBIC}$
3.45E+00,1.37E-01,4.02E-01,3.41E-01,$\mathit{I}_\mathrm{EBIC}$
3.50E+00,1.54E-01,3.80E-01,4.05E-01,$\mathit{I}_\mathrm{EBIC}$
3.55E+00,1.70E-01,4.03E-01,4.21E-01,$\mathit{I}_\mathrm{EBIC}$
3.60E+00,1.87E-01,3.88E-01,4.82E-01,$\mathit{I}_\mathrm{EBIC}$
3.65E+00,2.03E-01,3.98E-01,5.10E-01,$\mathit{I}_\mathrm{EBIC}$
3.70E+00,2.20E-01,3.75E-01,5.87E-01,$\mathit{I}_\mathrm{EBIC}$
3.75E+00,2.36E-01,4.05E-01,5.83E-01,$\mathit{I}_\mathrm{EBIC}$
3.80E+00,2.53E-01,3.80E-01,6.65E-01,$\mathit{I}_\mathrm{EBIC}$
3.85E+00,2.69E-01,3.94E-01,6.83E-01,$\mathit{I}_\mathrm{EBIC}$
3.90E+00,2.86E-01,3.84E-01,7.44E-01,$\mathit{I}_\mathrm{EBIC}$
3.95E+00,3.02E-01,3.82E-01,7.91E-01,$\mathit{I}_\mathrm{EBIC}$
4.00E+00,3.19E-01,3.93E-01,8.11E-01,$\mathit{I}_\mathrm{EBIC}$
4.05E+00,3.35E-01,3.90E-01,8.59E-01,$\mathit{I}_\mathrm{EBIC}$
4.10E+00,3.52E-01,3.89E-01,9.05E-01,$\mathit{I}_\mathrm{EBIC}$
4.15E+00,3.68E-01,3.95E-01,9.32E-01,$\mathit{I}_\mathrm{EBIC}$
4.20E+00,3.84E-01,4.04E-01,9.50E-01,$\mathit{I}_\mathrm{EBIC}$
4.25E+00,4.01E-01,3.88E-01,1.03E+00,$\mathit{I}_\mathrm{EBIC}$
4.30E+00,4.17E-01,3.88E-01,1.07E+00,$\mathit{I}_\mathrm{EBIC}$
4.35E+00,4.34E-01,3.95E-01,1.10E+00,$\mathit{I}_\mathrm{EBIC}$
4.40E+00,4.50E-01,4.03E-01,1.12E+00,$\mathit{I}_\mathrm{EBIC}$
4.45E+00,4.67E-01,3.94E-01,1.19E+00,$\mathit{I}_\mathrm{EBIC}$
4.50E+00,4.83E-01,3.78E-01,1.28E+00,$\mathit{I}_\mathrm{EBIC}$
4.55E+00,5.00E-01,3.82E-01,1.31E+00,$\mathit{I}_\mathrm{EBIC}$
4.60E+00,5.16E-01,4.01E-01,1.29E+00,$\mathit{I}_\mathrm{EBIC}$
4.65E+00,5.28E-01,3.81E-01,1.39E+00,$\mathit{I}_\mathrm{EBIC}$
4.70E+00,5.32E-01,3.93E-01,1.35E+00,$\mathit{I}_\mathrm{EBIC}$
4.75E+00,5.36E-01,3.86E-01,1.39E+00,$\mathit{I}_\mathrm{EBIC}$
4.80E+00,5.40E-01,3.91E-01,1.38E+00,$\mathit{I}_\mathrm{EBIC}$
4.85E+00,5.44E-01,4.05E-01,1.34E+00,$\mathit{I}_\mathrm{EBIC}$
4.90E+00,5.49E-01,3.99E-01,1.38E+00,$\mathit{I}_\mathrm{EBIC}$
4.95E+00,5.53E-01,3.84E-01,1.44E+00,$\mathit{I}_\mathrm{EBIC}$
5.00E+00,5.57E-01,3.81E-01,1.46E+00,$\mathit{I}_\mathrm{EBIC}$
5.05E+00,5.61E-01,3.88E-01,1.45E+00,$\mathit{I}_\mathrm{EBIC}$
5.10E+00,5.65E-01,3.95E-01,1.43E+00,$\mathit{I}_\mathrm{EBIC}$
5.15E+00,5.69E-01,3.86E-01,1.47E+00,$\mathit{I}_\mathrm{EBIC}$
5.20E+00,5.74E-01,3.83E-01,1.50E+00,$\mathit{I}_\mathrm{EBIC}$
5.25E+00,5.78E-01,3.88E-01,1.49E+00,$\mathit{I}_\mathrm{EBIC}$
5.30E+00,5.82E-01,3.95E-01,1.47E+00,$\mathit{I}_\mathrm{EBIC}$
5.35E+00,5.86E-01,3.85E-01,1.52E+00,$\mathit{I}_\mathrm{EBIC}$
5.40E+00,5.90E-01,3.93E-01,1.50E+00,$\mathit{I}_\mathrm{EBIC}$
5.45E+00,5.94E-01,3.91E-01,1.52E+00,$\mathit{I}_\mathrm{EBIC}$
5.50E+00,5.99E-01,4.02E-01,1.49E+00,$\mathit{I}_\mathrm{EBIC}$
5.55E+00,6.03E-01,3.88E-01,1.56E+00,$\mathit{I}_\mathrm{EBIC}$
5.60E+00,6.07E-01,3.84E-01,1.58E+00,$\mathit{I}_\mathrm{EBIC}$
5.65E+00,6.11E-01,3.75E-01,1.63E+00,$\mathit{I}_\mathrm{EBIC}$
5.70E+00,6.15E-01,4.03E-01,1.53E+00,$\mathit{I}_\mathrm{EBIC}$
5.75E+00,6.19E-01,3.91E-01,1.58E+00,$\mathit{I}_\mathrm{EBIC}$
5.80E+00,6.24E-01,3.90E-01,1.60E+00,$\mathit{I}_\mathrm{EBIC}$
5.85E+00,6.28E-01,3.97E-01,1.58E+00,$\mathit{I}_\mathrm{EBIC}$
5.90E+00,6.32E-01,3.89E-01,1.62E+00,$\mathit{I}_\mathrm{EBIC}$
5.95E+00,6.36E-01,3.82E-01,1.66E+00,$\mathit{I}_\mathrm{EBIC}$
6.00E+00,6.40E-01,3.96E-01,1.62E+00,$\mathit{I}_\mathrm{EBIC}$
6.05E+00,6.44E-01,3.83E-01,1.68E+00,$\mathit{I}_\mathrm{EBIC}$
6.10E+00,6.48E-01,3.83E-01,1.69E+00,$\mathit{I}_\mathrm{EBIC}$
6.15E+00,6.53E-01,3.95E-01,1.66E+00,$\mathit{I}_\mathrm{EBIC}$
6.20E+00,6.57E-01,3.78E-01,1.74E+00,$\mathit{I}_\mathrm{EBIC}$
6.25E+00,6.61E-01,3.88E-01,1.70E+00,$\mathit{I}_\mathrm{EBIC}$
6.30E+00,6.65E-01,4.03E-01,1.65E+00,$\mathit{I}_\mathrm{EBIC}$
6.35E+00,6.69E-01,3.95E-01,1.69E+00,$\mathit{I}_\mathrm{EBIC}$
6.40E+00,6.73E-01,3.88E-01,1.74E+00,$\mathit{I}_\mathrm{EBIC}$
6.45E+00,6.78E-01,4.02E-01,1.69E+00,$\mathit{I}_\mathrm{EBIC}$
6.50E+00,6.82E-01,3.89E-01,1.75E+00,$\mathit{I}_\mathrm{EBIC}$
6.55E+00,6.86E-01,4.03E-01,1.70E+00,$\mathit{I}_\mathrm{EBIC}$
6.60E+00,6.90E-01,3.88E-01,1.78E+00,$\mathit{I}_\mathrm{EBIC}$
6.65E+00,6.94E-01,3.96E-01,1.75E+00,$\mathit{I}_\mathrm{EBIC}$
6.70E+00,6.98E-01,3.80E-01,1.83E+00,$\mathit{I}_\mathrm{EBIC}$
6.75E+00,7.03E-01,3.82E-01,1.84E+00,$\mathit{I}_\mathrm{EBIC}$
6.80E+00,7.07E-01,3.99E-01,1.77E+00,$\mathit{I}_\mathrm{EBIC}$
6.85E+00,7.11E-01,4.02E-01,1.77E+00,$\mathit{I}_\mathrm{EBIC}$
6.90E+00,7.15E-01,3.94E-01,1.81E+00,$\mathit{I}_\mathrm{EBIC}$
6.95E+00,7.19E-01,3.95E-01,1.82E+00,$\mathit{I}_\mathrm{EBIC}$
7.00E+00,7.23E-01,3.90E-01,1.86E+00,$\mathit{I}_\mathrm{EBIC}$
7.05E+00,7.28E-01,3.78E-01,1.93E+00,$\mathit{I}_\mathrm{EBIC}$
7.10E+00,7.32E-01,3.87E-01,1.89E+00,$\mathit{I}_\mathrm{EBIC}$
7.15E+00,7.36E-01,4.01E-01,1.83E+00,$\mathit{I}_\mathrm{EBIC}$
7.20E+00,7.40E-01,3.94E-01,1.88E+00,$\mathit{I}_\mathrm{EBIC}$
7.25E+00,7.44E-01,4.01E-01,1.85E+00,$\mathit{I}_\mathrm{EBIC}$
7.30E+00,7.48E-01,3.83E-01,1.95E+00,$\mathit{I}_\mathrm{EBIC}$
7.35E+00,7.53E-01,3.78E-01,1.99E+00,$\mathit{I}_\mathrm{EBIC}$
7.40E+00,7.59E-01,3.78E-01,2.01E+00,$\mathit{I}_\mathrm{EBIC}$
7.45E+00,7.65E-01,3.96E-01,1.93E+00,$\mathit{I}_\mathrm{EBIC}$
7.50E+00,7.71E-01,4.02E-01,1.92E+00,$\mathit{I}_\mathrm{EBIC}$
7.55E+00,7.78E-01,3.84E-01,2.02E+00,$\mathit{I}_\mathrm{EBIC}$
7.60E+00,7.84E-01,3.79E-01,2.07E+00,$\mathit{I}_\mathrm{EBIC}$
7.65E+00,7.90E-01,3.88E-01,2.04E+00,$\mathit{I}_\mathrm{EBIC}$
7.70E+00,7.96E-01,3.88E-01,2.05E+00,$\mathit{I}_\mathrm{EBIC}$
7.75E+00,8.03E-01,4.01E-01,2.00E+00,$\mathit{I}_\mathrm{EBIC}$
7.80E+00,8.09E-01,3.97E-01,2.04E+00,$\mathit{I}_\mathrm{EBIC}$
7.85E+00,8.15E-01,4.05E-01,2.01E+00,$\mathit{I}_\mathrm{EBIC}$
7.90E+00,8.22E-01,3.77E-01,2.18E+00,$\mathit{I}_\mathrm{EBIC}$
7.95E+00,8.28E-01,4.02E-01,2.06E+00,$\mathit{I}_\mathrm{EBIC}$
8.00E+00,8.34E-01,4.01E-01,2.08E+00,$\mathit{I}_\mathrm{EBIC}$
8.05E+00,8.40E-01,3.81E-01,2.21E+00,$\mathit{I}_\mathrm{EBIC}$
8.10E+00,8.47E-01,4.01E-01,2.11E+00,$\mathit{I}_\mathrm{EBIC}$
8.15E+00,8.53E-01,3.88E-01,2.20E+00,$\mathit{I}_\mathrm{EBIC}$
8.20E+00,8.59E-01,3.83E-01,2.25E+00,$\mathit{I}_\mathrm{EBIC}$
8.25E+00,8.65E-01,4.01E-01,2.16E+00,$\mathit{I}_\mathrm{EBIC}$
8.30E+00,8.72E-01,4.03E-01,2.16E+00,$\mathit{I}_\mathrm{EBIC}$
8.35E+00,8.78E-01,3.88E-01,2.26E+00,$\mathit{I}_\mathrm{EBIC}$
8.40E+00,8.96E-01,3.83E-01,2.34E+00,$\mathit{I}_\mathrm{EBIC}$
8.45E+00,9.18E-01,4.01E-01,2.29E+00,$\mathit{I}_\mathrm{EBIC}$
8.50E+00,9.39E-01,3.81E-01,2.46E+00,$\mathit{I}_\mathrm{EBIC}$
8.55E+00,9.61E-01,3.92E-01,2.45E+00,$\mathit{I}_\mathrm{EBIC}$
8.60E+00,9.82E-01,3.98E-01,2.47E+00,$\mathit{I}_\mathrm{EBIC}$
8.65E+00,1.00E+00,3.95E-01,2.53E+00,$\mathit{I}_\mathrm{EBIC}$
8.70E+00,1.03E+00,3.92E-01,2.63E+00,$\mathit{I}_\mathrm{EBIC}$
8.75E+00,1.05E+00,3.80E-01,2.76E+00,$\mathit{I}_\mathrm{EBIC}$
8.80E+00,1.07E+00,3.91E-01,2.73E+00,$\mathit{I}_\mathrm{EBIC}$
8.85E+00,1.09E+00,4.02E-01,2.71E+00,$\mathit{I}_\mathrm{EBIC}$
8.90E+00,1.11E+00,3.88E-01,2.86E+00,$\mathit{I}_\mathrm{EBIC}$
8.95E+00,1.13E+00,3.93E-01,2.87E+00,$\mathit{I}_\mathrm{EBIC}$
9.00E+00,1.15E+00,3.77E-01,3.05E+00,$\mathit{I}_\mathrm{EBIC}$
9.05E+00,1.18E+00,3.77E-01,3.13E+00,$\mathit{I}_\mathrm{EBIC}$
9.10E+00,1.20E+00,4.03E-01,2.98E+00,$\mathit{I}_\mathrm{EBIC}$
9.15E+00,1.22E+00,3.86E-01,3.16E+00,$\mathit{I}_\mathrm{EBIC}$
9.20E+00,1.24E+00,3.81E-01,3.25E+00,$\mathit{I}_\mathrm{EBIC}$
9.25E+00,1.26E+00,3.93E-01,3.20E+00,$\mathit{I}_\mathrm{EBIC}$
9.30E+00,1.28E+00,3.93E-01,3.26E+00,$\mathit{I}_\mathrm{EBIC}$
9.35E+00,1.30E+00,4.00E-01,3.25E+00,$\mathit{I}_\mathrm{EBIC}$
9.40E+00,1.31E+00,3.85E-01,3.40E+00,$\mathit{I}_\mathrm{EBIC}$
9.45E+00,1.31E+00,3.81E-01,3.44E+00,$\mathit{I}_\mathrm{EBIC}$
9.50E+00,1.31E+00,3.90E-01,3.36E+00,$\mathit{I}_\mathrm{EBIC}$
9.55E+00,1.31E+00,3.79E-01,3.45E+00,$\mathit{I}_\mathrm{EBIC}$
9.60E+00,1.31E+00,3.87E-01,3.38E+00,$\mathit{I}_\mathrm{EBIC}$
9.65E+00,1.31E+00,3.79E-01,3.46E+00,$\mathit{I}_\mathrm{EBIC}$
9.70E+00,1.31E+00,4.01E-01,3.27E+00,$\mathit{I}_\mathrm{EBIC}$
9.75E+00,1.31E+00,4.02E-01,3.26E+00,$\mathit{I}_\mathrm{EBIC}$
9.80E+00,1.31E+00,4.01E-01,3.26E+00,$\mathit{I}_\mathrm{EBIC}$
9.85E+00,1.31E+00,3.89E-01,3.36E+00,$\mathit{I}_\mathrm{EBIC}$
9.90E+00,1.31E+00,3.85E-01,3.40E+00,$\mathit{I}_\mathrm{EBIC}$
9.95E+00,1.31E+00,3.97E-01,3.30E+00,$\mathit{I}_\mathrm{EBIC}$
1.00E+01,1.31E+00,3.87E-01,3.39E+00,$\mathit{I}_\mathrm{EBIC}$
1.00E+01,1.31E+00,4.04E-01,3.24E+00,$\mathit{I}_\mathrm{EBIC}$
1.01E+01,1.31E+00,3.84E-01,3.41E+00,$\mathit{I}_\mathrm{EBIC}$
1.01E+01,1.31E+00,3.95E-01,3.32E+00,$\mathit{I}_\mathrm{EBIC}$
1.02E+01,1.31E+00,3.88E-01,3.38E+00,$\mathit{I}_\mathrm{EBIC}$
1.02E+01,1.31E+00,3.76E-01,3.49E+00,$\mathit{I}_\mathrm{EBIC}$
1.03E+01,1.31E+00,3.84E-01,3.41E+00,$\mathit{I}_\mathrm{EBIC}$
1.03E+01,1.31E+00,3.85E-01,3.41E+00,$\mathit{I}_\mathrm{EBIC}$
1.04E+01,1.31E+00,3.95E-01,3.32E+00,$\mathit{I}_\mathrm{EBIC}$
1.04E+01,1.31E+00,3.86E-01,3.39E+00,$\mathit{I}_\mathrm{EBIC}$
1.05E+01,1.31E+00,3.85E-01,3.40E+00,$\mathit{I}_\mathrm{EBIC}$
1.05E+01,1.35E+00,3.87E-01,3.49E+00,$\mathit{I}_\mathrm{EBIC}$
1.06E+01,1.40E+00,3.99E-01,3.51E+00,$\mathit{I}_\mathrm{EBIC}$
1.06E+01,1.44E+00,3.92E-01,3.67E+00,$\mathit{I}_\mathrm{EBIC}$
1.07E+01,1.49E+00,3.98E-01,3.75E+00,$\mathit{I}_\mathrm{EBIC}$
1.07E+01,1.51E+00,3.78E-01,4.00E+00,$\mathit{I}_\mathrm{EBIC}$
1.08E+01,1.53E+00,3.97E-01,3.85E+00,$\mathit{I}_\mathrm{EBIC}$
1.08E+01,1.55E+00,3.80E-01,4.08E+00,$\mathit{I}_\mathrm{EBIC}$
1.09E+01,1.58E+00,3.82E-01,4.14E+00,$\mathit{I}_\mathrm{EBIC}$
1.09E+01,1.60E+00,3.96E-01,4.04E+00,$\mathit{I}_\mathrm{EBIC}$
1.10E+01,1.62E+00,3.88E-01,4.17E+00,$\mathit{I}_\mathrm{EBIC}$
1.10E+01,1.64E+00,3.97E-01,4.13E+00,$\mathit{I}_\mathrm{EBIC}$
1.11E+01,1.67E+00,4.00E-01,4.18E+00,$\mathit{I}_\mathrm{EBIC}$
1.11E+01,1.73E+00,3.81E-01,4.54E+00,$\mathit{I}_\mathrm{EBIC}$
1.12E+01,1.79E+00,3.80E-01,4.71E+00,$\mathit{I}_\mathrm{EBIC}$
1.12E+01,1.85E+00,3.90E-01,4.74E+00,$\mathit{I}_\mathrm{EBIC}$
1.13E+01,1.91E+00,3.96E-01,4.83E+00,$\mathit{I}_\mathrm{EBIC}$
1.13E+01,1.97E+00,4.04E-01,4.88E+00,$\mathit{I}_\mathrm{EBIC}$
1.14E+01,2.03E+00,3.84E-01,5.29E+00,$\mathit{I}_\mathrm{EBIC}$
1.14E+01,2.10E+00,3.93E-01,5.35E+00,$\mathit{I}_\mathrm{EBIC}$
1.15E+01,2.16E+00,4.04E-01,5.35E+00,$\mathit{I}_\mathrm{EBIC}$
1.15E+01,2.28E+00,3.80E-01,6.00E+00,$\mathit{I}_\mathrm{EBIC}$
1.16E+01,2.40E+00,3.93E-01,6.10E+00,$\mathit{I}_\mathrm{EBIC}$
1.16E+01,2.53E+00,3.92E-01,6.46E+00,$\mathit{I}_\mathrm{EBIC}$
1.17E+01,2.65E+00,3.90E-01,6.80E+00,$\mathit{I}_\mathrm{EBIC}$
1.17E+01,2.74E+00,3.99E-01,6.87E+00,$\mathit{I}_\mathrm{EBIC}$
1.18E+01,2.84E+00,3.91E-01,7.26E+00,$\mathit{I}_\mathrm{EBIC}$
1.18E+01,2.94E+00,3.75E-01,7.84E+00,$\mathit{I}_\mathrm{EBIC}$
1.19E+01,3.03E+00,3.77E-01,8.04E+00,$\mathit{I}_\mathrm{EBIC}$
1.19E+01,3.11E+00,3.99E-01,7.80E+00,$\mathit{I}_\mathrm{EBIC}$
1.20E+01,3.18E+00,3.93E-01,8.10E+00,$\mathit{I}_\mathrm{EBIC}$
1.20E+01,3.26E+00,3.91E-01,8.34E+00,$\mathit{I}_\mathrm{EBIC}$
1.21E+01,3.33E+00,3.76E-01,8.86E+00,$\mathit{I}_\mathrm{EBIC}$
1.21E+01,3.45E+00,4.01E-01,8.60E+00,$\mathit{I}_\mathrm{EBIC}$
1.22E+01,3.57E+00,3.77E-01,9.47E+00,$\mathit{I}_\mathrm{EBIC}$
1.22E+01,3.69E+00,3.80E-01,9.70E+00,$\mathit{I}_\mathrm{EBIC}$
1.23E+01,3.81E+00,3.92E-01,9.72E+00,$\mathit{I}_\mathrm{EBIC}$
1.23E+01,3.91E+00,3.98E-01,9.82E+00,$\mathit{I}_\mathrm{EBIC}$
1.24E+01,4.01E+00,3.92E-01,1.02E+01,$\mathit{I}_\mathrm{EBIC}$
1.24E+01,4.11E+00,4.04E-01,1.02E+01,$\mathit{I}_\mathrm{EBIC}$
1.25E+01,4.20E+00,3.93E-01,1.07E+01,$\mathit{I}_\mathrm{EBIC}$
1.25E+01,4.29E+00,4.04E-01,1.06E+01,$\mathit{I}_\mathrm{EBIC}$
1.26E+01,4.39E+00,3.82E-01,1.15E+01,$\mathit{I}_\mathrm{EBIC}$
1.26E+01,4.48E+00,3.99E-01,1.12E+01,$\mathit{I}_\mathrm{EBIC}$
1.27E+01,4.57E+00,3.93E-01,1.16E+01,$\mathit{I}_\mathrm{EBIC}$
1.27E+01,4.67E+00,3.77E-01,1.24E+01,$\mathit{I}_\mathrm{EBIC}$
1.28E+01,4.78E+00,3.96E-01,1.21E+01,$\mathit{I}_\mathrm{EBIC}$
1.28E+01,4.89E+00,3.92E-01,1.25E+01,$\mathit{I}_\mathrm{EBIC}$
1.29E+01,5.00E+00,3.77E-01,1.33E+01,$\mathit{I}_\mathrm{EBIC}$
1.29E+01,5.07E+00,3.97E-01,1.28E+01,$\mathit{I}_\mathrm{EBIC}$
1.30E+01,5.15E+00,4.05E-01,1.27E+01,$\mathit{I}_\mathrm{EBIC}$
1.30E+01,5.22E+00,3.79E-01,1.38E+01,$\mathit{I}_\mathrm{EBIC}$
1.31E+01,5.30E+00,3.84E-01,1.38E+01,$\mathit{I}_\mathrm{EBIC}$
1.31E+01,5.43E+00,3.89E-01,1.40E+01,$\mathit{I}_\mathrm{EBIC}$
1.32E+01,5.55E+00,4.01E-01,1.39E+01,$\mathit{I}_\mathrm{EBIC}$
1.32E+01,5.68E+00,3.87E-01,1.47E+01,$\mathit{I}_\mathrm{EBIC}$
1.33E+01,5.81E+00,3.91E-01,1.49E+01,$\mathit{I}_\mathrm{EBIC}$
1.33E+01,5.94E+00,4.03E-01,1.47E+01,$\mathit{I}_\mathrm{EBIC}$
1.34E+01,6.07E+00,3.98E-01,1.53E+01,$\mathit{I}_\mathrm{EBIC}$
1.34E+01,6.19E+00,4.05E-01,1.53E+01,$\mathit{I}_\mathrm{EBIC}$
1.35E+01,6.32E+00,4.01E-01,1.58E+01,$\mathit{I}_\mathrm{EBIC}$
1.35E+01,6.48E+00,4.02E-01,1.61E+01,$\mathit{I}_\mathrm{EBIC}$
1.36E+01,6.64E+00,3.96E-01,1.68E+01,$\mathit{I}_\mathrm{EBIC}$
1.36E+01,6.80E+00,3.92E-01,1.74E+01,$\mathit{I}_\mathrm{EBIC}$
1.37E+01,6.96E+00,3.83E-01,1.82E+01,$\mathit{I}_\mathrm{EBIC}$
1.37E+01,7.12E+00,3.98E-01,1.79E+01,$\mathit{I}_\mathrm{EBIC}$
1.38E+01,7.28E+00,3.79E-01,1.92E+01,$\mathit{I}_\mathrm{EBIC}$
1.38E+01,7.43E+00,3.81E-01,1.95E+01,$\mathit{I}_\mathrm{EBIC}$
1.39E+01,7.59E+00,3.78E-01,2.01E+01,$\mathit{I}_\mathrm{EBIC}$
1.39E+01,7.79E+00,3.92E-01,1.99E+01,$\mathit{I}_\mathrm{EBIC}$
1.40E+01,7.99E+00,3.80E-01,2.10E+01,$\mathit{I}_\mathrm{EBIC}$
1.40E+01,8.19E+00,4.02E-01,2.04E+01,$\mathit{I}_\mathrm{EBIC}$
